MACREPO ID,WEBSITE URL,DIMENSION: PAGETITLE,METRIC: USERS,METRIC: PAGEVIEWS,"ITEM=1, COLLECTION=2",IDENTIFIER,PARENT DIRECTORY,TIMERANGE: From 365daysAgo to 20170328
4041,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4041,'[Valenciennes] 51a | Digital Archive @ McMaster University Library',24,33,1,060WW1MAP,74944
4042,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4042,'Jerusalem: Secret | Digital Archive @ McMaster University Library',28,52,1,280WW1MAP,74931
4043,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4043,'Palestine Exploration Fund Map | Digital Archive @ McMaster University Library',48,63,1,265WW1MAP,74928
4044,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4044,'[Corbie] 62d | Digital Archive @ McMaster University Library',8,8,1,058WW1MAP,74944
4045,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4045,'[Battle of Cambrai and Canal du Nord 1918] Parts of 51b.SE. & 57c.NE. | Digital Archive @ McMaster University Library',16,18,1,337WW1MAP,49
4046,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4046,'[Fresnicourt] 36b.SE | Digital Archive @ McMaster University Library',7,9,1,211WW1MAP,49
4047,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4047,'Gaza--Shellal | Digital Archive @ McMaster University Library',45,76,1,279WW1MAP,74931
4048,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4048,'[Beaurains] 51b.SW | Digital Archive @ McMaster University Library',5,7,1,075WW1MAP,74943
4049,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4049,'Abbeville 14 | Digital Archive @ McMaster University Library',25,40,1,137WW1MAP,70212
4050,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4050,'East Africa Protectorate Kericho | Digital Archive @ McMaster University Library',17,18,1,267WW1MAP,74933
4051,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4051,'Tournai 37 | Digital Archive @ McMaster University Library',9,11,1,305WW1MAP,74944
4052,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4052,"'Poperinghe-Ypres 28.NW """"B"""" Series | Digital Archive @ McMaster University Library'",38,41,1,304WW1MAP,75086
4053,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4053,'Nuzle: Secret | Digital Archive @ McMaster University Library',18,22,1,262WW1MAP,74932
